Volume,Text No.,Text Title,Match with T Text? (1=yes 0=no 2 = ref),Quote in LS,Ch. in T Text,Quote in T Text,P. No. in T Text,UID,Start Index T,End Index T,Start Index LS,End Index LS
5,18,rtsal dbang ti ka rig pa'i sgron ma bzhugs so:,1,klong gsal las:_rab 'byams rig pa'i dbang med na:_'dus byas dbang gis smin mi srid:_ces so:_rang rgyud ma smin gzhan mi grol:_ces pa ni:,5,dus byas dbang gi smin mi srid/_/rang rgyud ma smin gzhan mi grol/_/,13,86077,11571,11639,251035,251171
5,19,thod rgal khyad par dbang lnga bzhugs pa lags so:,1,klong gsal nyi ma'i rgyud dag las:_spros bcas dbang rnams rdzogs byas nas:_khyad par rig pa'i dbang lnga bskur:_de nas mngon sum Rang thog dbab:_lhun grub rig pa'i rtsal dbang bskur:_zhes pas:,11,spros bcas dbang rnams rdzogs byas nas/_/khyad par rig pa'i dbang lnga bskur|_|de nas mngon sum rang thog dbab/_/lhun grub rig pa'i rtsal dbang bskur/_/,,57349,36368,36520,255597,255789
5,24,mkha' 'gro snying thig gsang dbang gi lhan thabs bzhugs so:,1,klong gsal nyi ma'i rgyud dag nas:_skal ldan smin byed dbang bskur ba:_spros bcas dang ni spros med dang :_shin tu yongs su spros med kyis:_skal pa ldan pa smin par bya:_zhes pas bum dbang bskur thabs logs na yod:,8,skal bar ldan pa smin par bya/_/spros bcas spros med [23] rab spros med/_/shin tu rig pa'i rtsal dbang bskur/_/dbang med dngos grub thob mi 'gyur/_/,,13794,21352,21500,279148,279361
5,24,mkha' 'gro snying thig gsang dbang gi lhan thabs bzhugs so:,1,klong gsal nyi ma'i rgyud las:_'byung ba'i dngas las grub pa yi:_lus 'di bde gshegs pho brang nyid:_rigs lnga yab yum lnga yi gnas:_phung khams skye mched lha yi sku:_zhes pas:,13,byung ba'i dngas ma las grub pa'i/_/lus 'di bder gshegs pho brang nyid/_/rigs lnga yab yum lnga'i gnas/_/phung khams skye mched lha'i sku/_/,,53481,45116,45256,168174,168350
5,24,mkha' 'gro snying thig gsang dbang gi lhan thabs bzhugs so:,1,de yang klong gsal lasaH:_'byung bzhi'i dkyil 'khor sangs rgyas zhing :_'khor lo lnga ni rigs lnga'i gnas:_phung khams thams cad lha tshogs nyid:_sems ni ye shes chen po nyid:_lus kyi dkyil 'khor chen po ste:_bu*ga*skra ni sgo*dang*me:_zhes so:,13,byung bzhi'i dkyil 'khor sangs rgyas zhing /_/'khor lo lnga po rigs lnga gnas/_/phung po khams ni lha tshogs nyid/_/sems ni ye shes chen po nyid/_/rig pa spros bral a la la//,,37703,45989,46163,283099,283343
5,27,thod rgal gyi don khrid nor bu'i snying po bzhugs soH,1,klong gsal las:_dad ldan snying rje gtong phod che:_rgyud dul sdig 'dzem dbang po rno:_gsang thub nyams len 'gyur ba med:_skyo shas sdug sran snying rus che:_de ni gsang ba'i snod yin pas:_bdud rtsi thigs pa snying gi yang zhun 'di:_bu yi bu mchog de la bstan par bya:_zhes so:,49,dad ldan snying rje gtong phod che/_/dam tshig sgrub la shin tu mos/_/sdig 'dzem shes rab dbang po rno/_/gsang thub brtul zhugs spyod pa nus/_/skyo shas zhen log snying rus che/_/tshe 'di'i lo ma rgyab tu bskyur/_/bla mas ci gsung dang du len/_/lto gos phyir na lhag skyob brten/_/grong yul bor nas dben gnas 'grim/_/dkor zas dag la mig rdul mtshungs/_/skyo nges thang lhod ngos dga' med//rkyen ngan gang la'ang bzod pa thub/_/de lta bu'i slob ma de/_/gsang sngags 'di'i snod mchog yin/_/gser dngul rin chen snod nang du/_/bdud rtsi dag ni blug pa 'dra/_/bcud [154] 'phel yon tan gong du 'phel/_/,,12248,156283,156879,295286,295563
5,27,thod rgal gyi don khrid nor bu'i snying po bzhugs soH,1,klong gsal las:_gangs khrod lung stong ri rtse duRa khrod dmaH_shin tu dben dang dngas shing mtho ba'i gnas:skal ldan skyes bu nyams len byed pa'i gnas:_zhes so:_dus bstan pa ni: yang de nyid las:_dbyar ma ston dang dgun chung dpyid kyi dus:_zer gnyis dus ni mchog tu bshad pa yin:_ces so:_,9,gangs khrod lung stong ri rtse dur khrod dam/_/shin tu dben pa dngas shing mtho' ba'i sar/_/skal ldan skyes bus nyams len bya ba'i gnas/_/dus chen nges pa'i gdams pa bstan pa ni/_dbyar ma [30] ston dang dgun chung dpyid kyi dus/_/zer gnyis dus ni mchog tu bshad pa yin/_/,,14061,28430,28701,295584,295874
5,27,thod rgal gyi don khrid nor bu'i snying po bzhugs soH,1,klong gsal las:_me tog dbang yon tshogs 'khor gtor tshogs rgyu:_nyams len dus su khams kyi rten po btsal:_mthun pa'i yo byad kun dang mthun par bya:_zhes so:,9,me tog dbang yon tshogs 'khor gtor tshogs rgyu/_/nyams len dus gsum khams kyis brtan so brtsal/_/mthun pa'i yo byad kun dang ldan par bya/_/,,32214,28943,29083,296079,296236
5,28,snying po gsal ba'i me long zhes bya ba'i khrid bzhugs so:,1,klong gsal las:_ston pa thugs rje chen po yis:_'dul byed theg pa mang gsungs kyang :_yang gsang rdzogs pa chen por 'dus:_zhes so:,18,ston pa thugs rje chen po yis/_/gdul byed theg pa mang gsung yang /_/yang gsang rdzogs [61] pa chen por 'dus/_/,,75272,60716,60827,302294,302423
5,28,snying po gsal ba'i me long zhes bya ba'i khrid bzhugs so:,1,klong gsal las:_ngo bo ka dag ye shes ni:_ma rig rtog pa kun dang bral: rang bzhin lhun grub ye shes ni:_stong gsal rang mdangs nyid du gnas thugs rje kun khyab ye shes ni:_'gags med snang stong nyid du gnas:_zhes pa dang :_,18,ngo bo ka dag ye shes te/_/ma rig rtog pa kun dang bral/_/rang bzhin lhun grub ye shes ni|_|stong gsal rang mdangs nyid du gnas/_/thugs rje kun khyab ye shes ni/_/'gag med stong pa nyid du gnas/_/,,38752,62614,62810,307544,307768
